PlantID,Treatment,LA
Control-1-1A,Control,18.58
Control-1-1B,Control,12.88
Control-1-2A,Control,11.67
Control-1-2B,Control,8.48
Control-1-3A,Control,2.41
Control-1-3B,Control,23.93
Control-1-4A,Control,30.21
Control-1-4B,Control,16.78
Control-1-5A,Control,38.89
Control-1-5B,Control,41.02
Control-1-6A,Control,16.6
Control-1-6B,Control,33.54
Control-1-7A,Control,4.31
Control-1-7B,Control,7.43
Control-1-8A,Control,8.41
Control-1-8B,Control,10.76
Control-2-1A,Control,7.28
Control-2-1B,Control,12.79
Control-2-2A,Control,14.33
Control-2-2B,Control,0.35
Control-2-3A,Control,23.05
Control-2-3B,Control,9.88
Control-2-4A,Control,17.57
Control-2-4B,Control,8.62
Control-2-5A,Control,8.58
Control-2-5B,Control,55.67
Control-2-6A,Control,22.02
Control-2-6B,Control,17.78
Control-2-7A,Control,9.07
Control-2-7B,Control,9.9
Control-2-8A,Control,25.93
Control-2-8B,Control,9.25
Control-3-1A,Control,35.3
Control-3-1B,Control,10.07
Control-3-2A,Control,6.54
Control-3-2B,Control,8.91
Control-3-3A,Control,27.3
Control-3-3B,Control,16.42
Control-3-4A,Control,11.47
Control-3-4B,Control,9.42
Control-3-5A,Control,8.25
Control-3-5B,Control,3.52
Control-3-6A,Control,3.01
Control-3-6B,Control,12.9
Control-3-7A,Control,38.9
Control-3-7B,Control,3.49
Control-3-8A,Control,24.11
Control-3-8B,Control,12.6
Control-4-1A,Control,46.77
Control-4-1B,Control,48.87
Control-4-2A,Control,50.88
Control-4-2B,Control,13.27
Control-4-3A,Control,27.9
Control-4-3B,Control,11
Control-4-4A,Control,17.2
Control-4-4B,Control,16.56
Control-4-5A,Control,7.68
Control-4-5B,Control,2.91
Control-4-6A,Control,27.41
Control-4-6B,Control,47.58
Control-4-7A,Control,21.54
Control-4-7B,Control,49.81
Control-4-8A,Control,4.1
Control-4-8B,Control,9.46
Control-5-1A,Control,26.67
Control-5-1B,Control,49.36
Control-5-2A,Control,33.87
Control-5-2B,Control,16.57
Control-5-3A,Control,24.76
Control-5-3B,Control,13.51
Control-5-4A,Control,6.31
Control-5-4B,Control,6.35
Control-5-5A,Control,41.17
Control-5-5B,Control,27.73
Control-5-6A,Control,9.38
Control-5-6B,Control,16.55
Control-5-7A,Control,10.3
Control-5-7B,Control,19.01
Control-5-8A,Control,16.88
Control-5-8B,Control,31.63
Control-6-1A,Control,20.25
Control-6-1B,Control,19.87
Control-6-2A,Control,21.58
Control-6-2B,Control,5.82
Control-6-3A,Control,29.93
Control-6-3B,Control,11.62
Control-6-4A,Control,5.21
Control-6-4B,Control,4.15
Control-6-5A,Control,37.87
Control-6-5B,Control,25.38
Control-6-6A,Control,25.53
Control-6-6B,Control,13.93
Control-6-7A,Control,13.42
Control-6-7B,Control,15.63
Control-6-8A,Control,16.24
Control-6-8B,Control,19.19
Heatwave-1-1A,Heatwave,11.37
Heatwave-1-1B,Heatwave,23.45
Heatwave-1-2A,Heatwave,11.61
Heatwave-1-2B,Heatwave,8.65
Heatwave-1-3A,Heatwave,3.1
Heatwave-1-3B,Heatwave,4.01
Heatwave-1-4A,Heatwave,2.09
Heatwave-1-4B,Heatwave,4.01
Heatwave-1-5A,Heatwave,4.8
Heatwave-1-5B,Heatwave,6.02
Heatwave-1-6A,Heatwave,7.81
Heatwave-1-6B,Heatwave,2.99
Heatwave-1-7A,Heatwave,4.76
Heatwave-1-7B,Heatwave,6.85
Heatwave-1-8A,Heatwave,16.9
Heatwave-1-8B,Heatwave,5.59
Heatwave-2-1A,Heatwave,4.78
Heatwave-2-1B,Heatwave,6.17
Heatwave-2-2A,Heatwave,11.82
Heatwave-2-2B,Heatwave,2.69
Heatwave-2-3A,Heatwave,7.13
Heatwave-2-3B,Heatwave,3.61
Heatwave-2-4A,Heatwave,7.79
Heatwave-2-4B,Heatwave,19.63
Heatwave-2-5A,Heatwave,9.66
Heatwave-2-5B,Heatwave,6.43
Heatwave-2-6A,Heatwave,3.83
Heatwave-2-6B,Heatwave,8.34
Heatwave-2-7A,Heatwave,
Heatwave-2-7B,Heatwave,2.31
Heatwave-2-8A,Heatwave,10.77
Heatwave-2-8B,Heatwave,2.31
Heatwave-3-1A,Heatwave,4.3
Heatwave-3-1B,Heatwave,8.93
Heatwave-3-2A,Heatwave,6.51
Heatwave-3-2B,Heatwave,2.82
Heatwave-3-3A,Heatwave,8
Heatwave-3-3B,Heatwave,3.45
Heatwave-3-4A,Heatwave,13.72
Heatwave-3-4B,Heatwave,6.82
Heatwave-3-5A,Heatwave,5.84
Heatwave-3-5B,Heatwave,4.33
Heatwave-3-6A,Heatwave,7.62
Heatwave-3-6B,Heatwave,4.23
Heatwave-3-7A,Heatwave,15.72
Heatwave-3-7B,Heatwave,4.48
Heatwave-3-8A,Heatwave,7.82
Heatwave-3-8B,Heatwave,4.89
Heatwave-4-1A,Heatwave,7.45
Heatwave-4-1B,Heatwave,5.86
Heatwave-4-2A,Heatwave,19.39
Heatwave-4-2B,Heatwave,23.29
Heatwave-4-3A,Heatwave,12.59
Heatwave-4-3B,Heatwave,6.39
Heatwave-4-4A,Heatwave,15.87
Heatwave-4-4B,Heatwave,2.76
Heatwave-4-5A,Heatwave,4
Heatwave-4-5B,Heatwave,8.57
Heatwave-4-6A,Heatwave,4.73
Heatwave-4-6B,Heatwave,9.51
Heatwave-4-7A,Heatwave,3.27
Heatwave-4-7B,Heatwave,15.64
Heatwave-4-8A,Heatwave,5.96
Heatwave-4-8B,Heatwave,5.35
Heatwave-5-1A,Heatwave,4.04
Heatwave-5-1B,Heatwave,5.95
Heatwave-5-2A,Heatwave,6.8
Heatwave-5-2B,Heatwave,13.41
Heatwave-5-3A,Heatwave,20.54
Heatwave-5-3B,Heatwave,5.07
Heatwave-5-4A,Heatwave,7.92
Heatwave-5-4B,Heatwave,7.52
Heatwave-5-5A,Heatwave,9.42
Heatwave-5-5B,Heatwave,4.41
Heatwave-5-6A,Heatwave,4.68
Heatwave-5-6B,Heatwave,7.86
Heatwave-5-7A,Heatwave,2.37
Heatwave-5-7B,Heatwave,5.22
Heatwave-5-8A,Heatwave,6.71
Heatwave-5-8B,Heatwave,2.35
Heatwave-6-1A,Heatwave,14.46
Heatwave-6-1B,Heatwave,7.13
Heatwave-6-2A,Heatwave,9.68
Heatwave-6-2B,Heatwave,2.1
Heatwave-6-3A,Heatwave,9
Heatwave-6-3B,Heatwave,8
Heatwave-6-4A,Heatwave,15.37
Heatwave-6-4B,Heatwave,11.66
Heatwave-6-5A,Heatwave,7.24
Heatwave-6-5B,Heatwave,11.95
Heatwave-6-6A,Heatwave,6.39
Heatwave-6-6B,Heatwave,7.81
Heatwave-6-7A,Heatwave,3.79
Heatwave-6-7B,Heatwave,6.72
Heatwave-6-8A,Heatwave,8.35
Heatwave-6-8B,Heatwave,9.28
